subject_id,gold
25773849,1
25773852,1
28521383,1
28521384,1
28521385,1
28521382,1
28521386,1
28521387,1
28521518,1
28521519,1
28521526,1
28521525,1
28521627,0
28521584,1
28521632,0
28521630,0
28521633,0
28521631,0
28521635,0
28522020,0
28522235,0
28522957,0
28522561,0
28522915,0
28522585,0
28522148,0
28522651,0
28522514,0
28522455,0
28522036,0
28522917,0
28522737,0
28522055,0
28522337,0
28521932,0
28522222,0
28522853,0
28522904,0
28522188,0
28522768,0
28522166,0
28522283,0
28522384,0
28522399,0
28522122,0
28522062,0
28522703,0
28522002,0
28522890,0
28522507,0
28522524,0
28522691,0
28522475,0
28522645,0
28522793,0
28522403,0
28522249,0
28522146,0
28522018,0
28522587,0
28522276,0
28522520,0
28522790,0
28522019,0
28522912,0
28522613,0
28522720,0
28522952,0
28522906,0
28522564,0
28522031,0
28522094,0
28522669,0
28522628,0
28522774,0
28522073,0
28522776,0
28522884,0
28522687,0
28522648,0
28522465,0
28522623,0
28522204,0
28522832,0
28522060,0
28522576,0
28522913,0
28522872,0
28522263,0
28522886,0
28522810,0
28521922,0
28522677,0
28522918,0
28522816,0
28522722,0
28522368,0
28521984,0
28522670,0
28522472,0
28522025,0
28522334,0
28522105,0
28522082,0
28522089,0
28522383,0
28522580,0
28522037,0
28522229,0
28522084,0
28522134,0
28522676,0
28522151,0
28522614,0
28522375,0
28522005,0
28522014,0
28522030,0
28522693,0
28522243,0
28522414,0
28522072,0
28522537,0
28522291,0
28522147,0
28522841,0
28522201,0
28522436,0
28521961,0
28522437,0
28522673,0
28522450,0
28521937,0
28522380,0
28522425,0
28522273,0
28522370,0
28521979,0
28522355,0
28522733,0
28522396,0
28522591,0
34619380,1
34619351,1
34619357,1
34619372,1
34619343,1
34619330,1
34619322,1
34619318,1
34619376,1
34619327,1
34619368,1
34619333,1
34619383,1
34619386,1
34619364,1
34619339,1
34619337,1
34619354,1
34619347,1
34619361,1
35090300,1
35090290,1
35090301,1
35090285,1
35090291,1
35090287,1
35090293,1
35090282,1
35090292,1
35090294,1
35090303,1
35090297,1
35090296,1
35090302,1
35090369,1
35090378,1
35090455,1
35090458,1
35090457,1
35090459,1
35090453,1
35090449,1
35090448,1
35090443,1
35090442,1
35090452,1
35090454,1
35090440,1
35090450,1
35090446,1
35090445,1
35090451,1
35090444,1
35090441,1
35090456,1
35090447,1
37775512,0
37775515,0
37775514,0
37775513,0
37775479,0
37775531,1
37775492,0
37775481,0
37775505,0
37775495,0
37775523,1
37775478,0
37775533,1
37775527,1
37775510,0
37775490,0
37775526,1
37775508,0
37775530,1
37775501,0
37775477,0
37775519,1
37775491,0
37775507,0
37775525,1
37775502,0
37775528,1
37775517,1
37775516,1
37775535,1
37775520,1
37775593,0
37775614,0
37775584,0
37775597,0
37775595,0
37775587,0
37775522,1
37775581,0
37775608,0
37775580,0
37775617,0
37775600,0
37775610,0
37775589,0
37775534,1
37775601,0
37775583,0
37775616,0
37775604,0
37775518,1
37775577,0
37775591,0
37775606,0
37775596,0
37775586,0
37775605,0
37775582,0
37775603,0
37775590,0
37775592,0
37775612,0
37775524,1
37775615,0
37775598,0
37775578,0
37775602,0
37775594,0
37775599,0
37775611,0
37775532,1
37775609,0
37775579,0
37775588,0
37775585,0
37775529,1
37775521,1
37775613,0
37775607,0
37807145,1
37807144,1
37807155,0
37807158,0
37807143,1
37807142,1
37807156,0
37807159,0
37807140,1
38024671,1
38024682,1
38024736,1
38024752,1
38024677,1
38024743,1
38024668,1
38024674,1
38024673,1
38024740,1
38024755,1
38024676,1
38024751,1
38024747,1
38024681,1
38024758,1
38024742,1
38024667,1
38024666,1
38024738,1
38030032,1
38030035,1
38030043,1
38029997,1
38029994,1
38030026,1
38030006,1
38029991,1
38030014,1
38030037,1
38030046,1
38030009,1
38030020,1
38030023,1
38030004,1
38030017,1
38030012,1
38030040,1
38037475,1
38037472,1
38037484,1
38037491,1
38037488,1
38037474,1
38037483,1
38037477,1
38037490,1
38037487,1
38037480,1
38037479,1
38037486,1
38037473,1
38037485,1
38037481,1
38037478,1
